ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID,taxid_original,taxid_was_merged,taxid_was_deleted,taxid_is_deleted_after_update,has_refseq_assembly
1614698,2.0,Bacteria,1224.0,Pseudomonadota,28211.0,Alphaproteobacteria,204455.0,Rhodobacterales,31989.0,Paracoccaceae,2054427.0,Aestuariicoccus,1614698.0,Aestuariicoccus marinus,species,Aestuariicoccus marinus,37.00,37.00,37.0,original,optimum,Tempura,Tempura3361,1614698,False,False,False,False
1615953,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186822.0,Paenibacillaceae,44249.0,Paenibacillus,1615953.0,Paenibacillus lacus,species,Paenibacillus lacus,37.00,37.00,37.0,original,optimum,Tempura,Tempura3360,1615953,False,False,False,False
1639646,2.0,Bacteria,976.0,Bacteroidota,1853228.0,Chitinophagia,1853229.0,Chitinophagales,563835.0,Chitinophagaceae,398041.0,Flavisolibacter,1639646.0,Flavisolibacter metallilatus,species,Flavisolibacter metallilatus,37.00,37.00,37.0,original,optimum,Tempura,Tempura4788,1639646,False,False,False,False
1652145,2.0,Bacteria,203691.0,Spirochaetota,203692.0,Spirochaetia,136.0,Spirochaetales,2951105.0,Rectinemataceae,1937016.0,Rectinema,1652145.0,Rectinema cohabitans,species,Rectinema cohabitans,37.00,37.00,37.0,original,optimum,Tempura,Tempura1153,1652145,False,False,False,False
1671557,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,90964.0,Staphylococcaceae,45669.0,Salinicoccus,1671557.0,Salinicoccus amylolyticus,species,Salinicoccus amylolyticus,37.00,37.00,37.0,original,optimum,Tempura,Tempura3357,1671557,False,False,False,False
1675854,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,3085636.0,Lachnospirales,2603322.0,Vallitaleaceae,1792300.0,Abyssivirga,1675854.0,Abyssivirga alkaniphila,species,Abyssivirga alkaniphila,37.00,37.00,37.0,original,optimum,Tempura,Tempura2727,1675854,False,False,False,False
1764539,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85011.0,Kitasatosporales,2062.0,Streptomycetaceae,1883.0,Streptomyces,1764539.0,Streptomyces indoligenes,species,Streptomyces indoligenes,37.00,37.00,37.0,original,optimum,Tempura,Tempura1626,1764539,False,False,False,False
1778871,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85010.0,Pseudonocardiales,2070.0,Pseudonocardiaceae,1851.0,Saccharomonospora,1778871.0,Saccharomonospora xiaoerkulensis,species,Saccharomonospora xiaoerkulensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura2617,1778871,False,False,False,False
1862094,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186822.0,Paenibacillaceae,44249.0,Paenibacillus,1862094.0,Paenibacillus tumbae,species,Paenibacillus tumbae,37.00,37.00,37.0,original,optimum,Tempura,Tempura2717,1862094,False,False,False,False
1905151,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85011.0,Kitasatosporales,2062.0,Streptomycetaceae,1883.0,Streptomyces,1905151.0,Streptomyces asenjonii,species,Streptomyces asenjonii,37.00,37.00,37.0,original,optimum,Tempura,Tempura1145,1905151,False,False,False,False
1934410,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85014.0,Glycomycetales,85034.0,Glycomycetaceae,58113.0,Glycomyces,1934410.0,Glycomyces xinjiangensis,species,Glycomyces xinjiangensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura1619,1934410,False,False,False,False
1935995,2.0,Bacteria,1224.0,Pseudomonadota,1236.0,Gammaproteobacteria,72274.0,Pseudomonadales,2887365.0,Marinobacteraceae,2742.0,Marinobacter,1935995.0,Marinobacter aquaticus,species,Marinobacter aquaticus,37.00,37.00,37.0,original,optimum,Tempura,Tempura3338,1935995,False,False,False,False
1983720,2.0,Bacteria,1239.0,Bacillota,91061.0,Bacilli,1385.0,Bacillales,186817.0,Bacillaceae,2675234.0,Alkalihalobacillus,1983720.0,Alkalihalobacillus alkalilacus,species,Alkalihalobacillus alkalilacus,37.00,37.00,37.0,original,optimum,Tempura,Tempura2712,1983720,False,False,False,False
2021638,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85011.0,Kitasatosporales,2062.0,Streptomycetaceae,1883.0,Streptomyces,2021638.0,Streptomyces aqsuensis,species,Streptomyces aqsuensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura3218,2021638,False,False,False,False
2035343,2.0,Bacteria,201174.0,Actinomycetota,1760.0,Actinomycetes,85007.0,Mycobacteriales,1762.0,Mycobacteriaceae,1763.0,Mycobacterium,2035343.0,Mycobacterium eburneum,species,Mycobacterium eburneum,37.00,37.00,37.0,original,optimum,Tempura,Tempura4784,2035343,False,False,False,False
2066023,2.0,Bacteria,2818505.0,Myxococcota,,,3031713.0,Nannocystales,224463.0,Nannocystaceae,53.0,Nannocystis,2066023.0,Nannocystis konarekensis,species,Nannocystis konarekensis,37.00,37.00,37.0,original,optimum,Tempura,Tempura4782,2066023,False,False,False,False
2093420,2.0,Bacteria,2818505.0,Myxococcota,,,3031712.0,Polyangiales,49.0,Polyangiaceae,39643.0,Sorangium,2093420.0,Sorangium orientale,species,Sorangium orientale,37.00,37.00,37.0,original,optimum,Tempura,Tempura2552,2093420,False,False,False,False
2282766,2.0,Bacteria,1239.0,Bacillota,186801.0,Clostridia,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,2282766.0,Clostridium beihaiense,species,Clostridium beihaiense,37.00,37.00,37.0,original,optimum,Tempura,Tempura1605,2282766,False,False,False,False
2304676,2157.0,Archaea,28890.0,Euryarchaeota,183963.0,Halobacteria,2235.0,Halobacteriales,3064797.0,Haladaptataceae,2614447.0,Halomicrococcus,2304676.0,Halomicrococcus hydrotolerans,species,Halomicrococcus hydrotolerans,37.00,37.00,37.0,original,optimum,Tempura,Tempura853,2304676,False,False,False,False
