ncbiTaxID_new,superkingdom_id,superkingdom,phylum_id,phylum,class_id,class,order_id,order,family_id,family,genus_id,genus,species_id,species,rank_new,name_new,Temp,Temp_Range_Average,Temp_Duplicate_Average,Temp_Value,Type,Source,Source_ID
274,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,274,Thermus thermophilus,species,Thermus thermophilus,68.50,68.50,68.50,original,optimum,ThermoBase,ThermoBase167
300852,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,274,Thermus thermophilus,strain,Thermus thermophilus HB8,68.50,68.50,68.50,original,optimum,Tempura,Tempura144
2285,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,2284,Sulfolobus,2285,Sulfolobus acidocaldarius,species,Sulfolobus acidocaldarius,75.00,75.00,68.63,average,optimum,ThermoBase,ThermoBase198
29549,2,Bacteria,1853220,Rhodothermota,1853222,Rhodothermia,1853224,Rhodothermales,563843,Rhodothermaceae,29548,Rhodothermus,29549,Rhodothermus marinus,species,Rhodothermus marinus,72.50,72.50,68.75,average,optimum,"Lyubetsky et al., 2020",Lyu922
1757,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,1754,Thermoanaerobacter,1757,Thermoanaerobacter ethanolicus,species,Thermoanaerobacter ethanolicus,69.00,69.00,69.00,original,optimum,Tempura,Tempura216
447594,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,249529,Caldanaerobacter,447594,Caldanaerobacter uzonensis,species,Caldanaerobacter uzonensis,69.00,69.00,69.00,original,optimum,ThermoBase,ThermoBase294
498375,2157,Archaea,651137,Nitrososphaerota,1643678,Nitrososphaeria,1968909,Candidatus Nitrosocaldales,1968910,Candidatus Nitrosocaldaceae,498374,Candidatus Nitrosocaldus,498375,Candidatus Nitrosocaldus yellowstonensis,species,Candidatus Nitrosocaldus yellowstonensis,69.00,69.00,69.00,original,optimum,ThermoBase,ThermoBase330
456163,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,456163,Thermus parvatiensis,species,Thermus parvatiensis,70.00,70.00,69.17,average,optimum,ThermoBase,ThermoBase219
301953,2,Bacteria,1239,Bacillota,nan,,3071001,Caldicellulosiruptorales,3071002,Caldicellulosiruptoraceae,44000,Caldicellulosiruptor,301953,Caldicellulosiruptor acetigenus,species,Caldicellulosiruptor acetigenus,66.50,66.50,69.75,average,optimum,ThermoBase,ThermoBase258
271,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,271,Thermus aquaticus,species,Thermus aquaticus,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase243
1741,2,Bacteria,200940,Thermodesulfobacteriota,67799,Thermodesulfobacteria,188710,Thermodesulfobacteriales,188711,Thermodesulfobacteriaceae,1740,Thermodesulfobacterium,1741,Thermodesulfobacterium commune,species,Thermodesulfobacterium commune,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu913
2424,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2422,Fervidobacterium,2424,Fervidobacterium nodosum,species,Fervidobacterium nodosum,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu907
39100,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,188709,Thermotogaceae,1643951,Pseudothermotoga,39100,Pseudothermotoga subterranea,species,Pseudothermotoga subterranea,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase293
41673,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,12914,Acidianus,41673,Acidianus brierleyi,species,Acidianus brierleyi,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase291
42838,2,Bacteria,1239,Bacillota,186801,Clostridia,68295,Thermoanaerobacterales,186814,Thermoanaerobacteraceae,42837,Ammonifex,42838,Ammonifex degensii,species,Ammonifex degensii,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu904
44001,2,Bacteria,1239,Bacillota,nan,,3071001,Caldicellulosiruptorales,3071002,Caldicellulosiruptoraceae,44000,Caldicellulosiruptor,44001,Caldicellulosiruptor saccharolyticus,species,Caldicellulosiruptor saccharolyticus,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu905
46541,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,1643950,Fervidobacteriaceae,2420,Thermosipho,46541,Thermosipho melanesiensis,species,Thermosipho melanesiensis,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu914
56956,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,56956,Thermus brockianus,species,Thermus brockianus,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase179
56957,2,Bacteria,1297,Deinococcota,188787,Deinococci,68933,Thermales,188786,Thermaceae,270,Thermus,56957,Thermus oshimai,species,Thermus oshimai,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase1177
57487,2,Bacteria,200918,Thermotogota,188708,Thermotogae,2419,Thermotogales,188709,Thermotogaceae,1643951,Pseudothermotoga,57487,Pseudothermotoga hypogea,species,Pseudothermotoga hypogea,70.00,70.00,70.00,original,optimum,"Lyubetsky et al., 2020",Lyu910
64160,2,Bacteria,200783,Aquificota,187857,Aquificia,1485951,Desulfurobacteriales,558314,Desulfurobacteriaceae,64159,Desulfurobacterium,64160,Desulfurobacterium thermolithotrophum,species,Desulfurobacterium thermolithotrophum,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase213
79601,2157,Archaea,28889,Thermoproteota,183924,Thermoprotei,2281,Sulfolobales,118883,Sulfolobaceae,41980,Metallosphaera,79601,Metallosphaera hakonensis,species,Metallosphaera hakonensis,70.00,70.00,70.00,original,optimum,ThermoBase,ThermoBase216
